TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,DistinctCoursesTaught,TotalEnrollments,AvgEnrollmentsPerCourse,EnrollmentInfluenceRatio,RatingConsistencyIndex,CourseRatingMean,RatingTier
TC00026,Patrick Wilson,29,Male,Web Development,1,2.83,15,51,3.4,0.30158,0.4394391447101965,3.1713333333333336,Low
TC00027,Laurie Michael,44,Female,Artificial Intelligence,3,1.55,13,133,10.23076923076923,0.9074692307692308,0.4226339571426539,3.26,Low
TC00028,Timothy Bailey,27,Female,Business,3,1.06,16,161,10.0625,0.89254375,0.4524745876584188,3.01,Low
TC00029,David Webb,50,Male,Artificial Intelligence,2,3.1,18,66,3.6666666666666665,0.3252333333333333,0.4449115485876486,3.1766666666666667,Mid
TC00030,David Aguirre,50,Male,Artificial Intelligence,6,3.01,17,54,3.176470588235294,0.2817529411764706,0.4420360917187141,3.307058823529412,Mid
TC00031,Brenda Mercer,47,Female,Cybersecurity,1,1.86,15,164,10.933333333333334,0.9697866666666668,0.4262733250520433,3.2366666666666664,Low
TC00032,James Holder,44,Male,Cybersecurity,1,3.11,15,36,2.4,0.2128799999999999,0.4241815355105217,3.1086666666666667,Mid
TC00033,Wesley Garcia,39,Female,Design,12,4.04,8,137,17.125,1.5189875,0.4773808571801698,3.0125,High
TC00034,Brandon Dawson,38,Male,Web Development,3,2.79,15,51,3.4,0.30158,0.4236537132156566,3.1333333333333333,Low
TC00035,Sharon Jackson,27,Male,Digital Marketing,5,3.13,14,38,2.7142857142857144,0.2407571428571428,0.4777328446479199,3.480714285714286,Mid
TC00036,Brenda Mclean,28,Male,Digital Marketing,4,1.39,15,46,3.066666666666667,0.2720133333333333,0.4274561333859985,3.2126666666666663,Low
TC00037,Debra Escobar,47,Male,Finance,8,4.39,10,117,11.7,1.03779,0.527468494319023,2.849,High
TC00038,Jeffrey Clark,43,Male,Digital Marketing,1,2.38,18,70,3.888888888888889,0.3449444444444444,0.4301918642117456,3.330555555555556,Low
TC00039,Elizabeth Bishop,34,Male,Finance,7,3.31,16,41,2.5625,0.22729375,0.4821575247447099,3.159375,Mid
TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,55,3025,55.0,4.8785,0.4673331117349594,3.137818181818182,High
TC00041,Kevin Simpson,46,Male,Artificial Intelligence,7,3.55,7,44,6.285714285714286,0.5575428571428571,0.4941966228236598,3.0028571428571427,High
TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,55,3061,55.654545454545456,4.936558181818182,0.4643600126341748,3.115636363636364,High
TC00043,John Williams,30,Female,Project Management,1,1.05,14,68,4.857142857142857,0.4308285714285714,0.4141018968218248,2.8742857142857146,Low
TC00044,Barbara Maynard,27,Male,Finance,4,2.61,14,77,5.5,0.48785,0.4541413876779042,3.266428571428572,Low
TC00045,Emily Gutierrez,28,Female,Web Development,5,1.07,17,56,3.294117647058824,0.2921882352941176,0.4239583318453622,3.044705882352941,Low
TC00046,Brent Walters,33,Male,Cybersecurity,6,3.87,9,31,3.4444444444444446,0.3055222222222222,0.4591443390355462,2.806666666666666,High
TC00047,Brad Griffin,27,Male,Design,4,1.79,14,65,4.642857142857143,0.4118214285714286,0.4553938479826853,3.435714285714286,Low
TC00048,Theresa Gonzalez,30,Male,Finance,7,3.18,15,33,2.2,0.19514,0.4411500342216951,3.088,Mid
TC00049,Valerie Wiley,46,Female,Machine Learning,6,3.46,16,95,5.9375,0.52665625,0.4403896944269919,2.805625,Mid
TC00050,Alexander Williams,32,Female,Digital Marketing,3,3.41,15,24,1.6,0.14192,0.4825588879445086,3.3160000000000003,Mid
TC00051,John Obrien,36,Female,Design,2,1.77,14,63,4.5,0.39915,0.4564325119360791,2.9307142857142856,Low
TC00052,Susan Johnson,34,Female,Business,12,3.43,19,97,5.105263157894737,0.4528368421052632,0.4722054077084548,3.0842105263157897,Mid
TC00053,Aaron Kirby,35,Male,Marketing,9,4.29,9,120,13.333333333333334,1.1826666666666668,0.4859591937280958,3.338888888888889,High
TC00054,Shelby Patrick,40,Female,Artificial Intelligence,7,4.28,9,46,5.111111111111111,0.4533555555555555,0.4916444092369998,2.881111111111111,High
TC00055,Alison Wilson,47,Female,Cybersecurity,12,3.53,8,37,4.625,0.4102375,0.444098571960573,2.76375,Mid
TC00056,Alexis Everett,35,Female,Programming,9,3.95,8,123,15.375,1.3637625,0.4638405303524702,2.8475,High
TC00057,Brittany Scott,44,Male,Data Science,7,3.44,15,49,3.2666666666666666,0.2897533333333333,0.4795546626629854,2.8526666666666665,Mid
TC00058,Andrew Anderson,49,Male,Web Development,7,3.71,10,138,13.8,1.22406,0.5023014581152595,2.7670000000000003,High
TC00059,Noah Stewart,48,Female,Cybersecurity,6,3.82,10,47,4.7,0.41689,0.4736624603963503,2.795,High
TC00060,Benjamin Gray,48,Female,Project Management,14,3.32,15,92,6.133333333333334,0.5440266666666667,0.4382778922086514,2.902,Mid
